"","title","links.href","time","description","author.name"
"11","Fake it till you make it: Rent-a-Date and Chinese New Year","http://www.whatsonweibo.com/rent-date-chinese-new-year/",2014-01-27,"null","Manya Koetse"
"12","5 years of Sina Weibo: Censorship & Hope for a Free Online Environment","http://www.whatsonweibo.com/5-years-sina-weibo/",2014-03-17,"null","Manya Koetse"
"13","Let’s (Not) Talk About Sex, Weibo – Cleaning Up China’s Internet","http://www.whatsonweibo.com/lets-talk-sex-weibo-cleaning-chinas-internet/",2014-04-23,"null","Manya Koetse"
"14","A Breath of Fresh Air? Protests against Pollution","http://www.whatsonweibo.com/a-breath-of-fresh-air-protests-against-pollution/",2014-05-14,"null","Manya Koetse"
"15","Behind the Headlines: China’s Media Landscape (Liveblog)","http://www.whatsonweibo.com/behind-the-headlines-chinas-media-landscape/",2014-05-15,"null","Manya Koetse"
"16","The Dark World of Dongguan’s Beggar Gangs","http://www.whatsonweibo.com/the-dark-world-of-dongguans-beggar-gangs/",2014-05-26,"null","Manya Koetse"
"17","Introduction to WeChat – Short Guide to China’s Super App","http://www.whatsonweibo.com/whatswechat/",2014-05-29,"“Weixin is not just an application; Weixin is a lifestyle, a symbol of this era,” experts say. If 2009-2012 was the golden era of Sina’s Weibo, 2012-2015 is sure to be the prime time for Tencent’s Weixin, better known as WeChat.","Manya Koetse"
"18","Tiananmen Without the Tanks – The 1980s China Wants to Remember","http://www.whatsonweibo.com/tiananmen-without-the-tanks-the-1980s-china-wants-to-remember/",2014-06-03,"null","Manya Koetse"
"19","“Do You Know Who My Dad Is?” – When China’s Internet Memes Become Marketing Tools","http://www.whatsonweibo.com/do-you-know-who-my-dad-is-when-chinas-internet-memes-become-marketing-tools/",2014-06-12,"null","Manya Koetse"
"20","Don’t Bet on It – World Cup Gambling in China","http://www.whatsonweibo.com/dont-bet-on-it-world-cup-gambling-in-china/",2014-07-10,"null","Manya Koetse"
"21","Welcome to a fresh What’s on Weibo","http://www.whatsonweibo.com/welcome-to-a-fresh-whats-on-weibo/",2014-07-22,"null","admin"
"22","Are you heavy enough for a tropical storm?","http://www.whatsonweibo.com/are-you-heavy-enough-for-a-tropical-storm/",2014-07-24,"null","Manya Koetse"
"23","Russia and Poland argue on Weibo over MH17","http://www.whatsonweibo.com/russia-and-poland-argue-on-weibo-over-mh17/",2014-07-25,"null","Manya Koetse"
"24","The 47-0 Score Soccer Match","http://www.whatsonweibo.com/the-47-0-score-soccer-match/",2014-07-25,"null","Manya Koetse"
"25","China’s Most Henpecked Men","http://www.whatsonweibo.com/chinas-most-henpecked-men/",2014-07-26,"null","Manya Koetse"
"26","Fake Scandal Hits China’s eCommerce Platforms","http://www.whatsonweibo.com/fake-scandal-hits-chinas-ecommerce-platforms/",2014-07-28,"null","Manya Koetse"
"27","What Russia Wants China to Know After MH17","http://www.whatsonweibo.com/what-russia-wants-china-to-know-after-mh17/",2014-07-28,"null","Manya Koetse"
"28","Bad Publicity for Tsinghua University After Firing Teacher","http://www.whatsonweibo.com/bad-publicity-for-tsinghua-university-after-firing-teacher/",2014-07-29,"null","Manya Koetse"
"29","McDonald’s Hamburger Crisis","http://www.whatsonweibo.com/mcdonalds-hamburger-crisis/",2014-07-30,"null","Manya Koetse"
"30","Another Star in Prison: Chinese Celebrity Mo Zhang caught with drugs","http://www.whatsonweibo.com/another-star-in-prison-chinese-celebrity-mo-zhang-caught-with-drugs/",2014-07-31,"null","Manya Koetse"
"31","Gay Pride & Gay Rights in China: The Status Quo (Liveblog)","http://www.whatsonweibo.com/lgbtchina/",2014-08-01,"null","Manya Koetse"
"32","Gay Pride 2014","http://www.whatsonweibo.com/gay-pride-2014/",2014-08-01,"null","Manya Koetse"
"33","Smartphone virus goes viral","http://www.whatsonweibo.com/smartphone-virus-goes-viral/",2014-08-03,"null","Manya Koetse"
"34","North Korea Launches Its Very First Tablet","http://www.whatsonweibo.com/north-korea-launches-its-very-first-tablet/",2014-08-04,"null","Manya Koetse"
"35","“China’s Most Beautiful Character”","http://www.whatsonweibo.com/chinas-most-beautiful-character/",2014-08-05,"null","Manya Koetse"
"36","Netizens go crazy over Sherlock Holmes’s ‘Coming Out’","http://www.whatsonweibo.com/sherlock-holmess-coming-out/",2014-08-07,"null","Manya Koetse"
"37","The Adventure of the Funü: China’s ‘Rotten Girls’ and Sherlock Holmes","http://www.whatsonweibo.com/chinasrottengirls/",2014-08-07,"null","Manya Koetse"
"38","Indifferent attitude government at Henan drought angers netizens","http://www.whatsonweibo.com/henandrought/",2014-08-08,"null","Manya Koetse"
"39","Baby Steps Forwards or Backwards? Call to Extend China’s Maternity Leave to Three Years","http://www.whatsonweibo.com/call-to-extend-maternity-leave-to-three-years-in-china/",2014-08-11,"null","Manya Koetse"
"40","Proposal to extend maternity leave to 3 years","http://www.whatsonweibo.com/proposal-to-extend-maternity-leave-to-3-years/",2014-08-11,"null","Manya Koetse"
"41","15-year-old Finn Wants to Join China’s Army","http://www.whatsonweibo.com/15-year-old-finn-wants-to-join-chinas-army/",2014-08-12,"null","Manya Koetse"
"42","Weibo Tribute to Robin Williams","http://www.whatsonweibo.com/weibo-tribute-to-robin-williams/",2014-08-12,"null","Manya Koetse"
"43","Suicide In China: The Story Behind the Declining Numbers","http://www.whatsonweibo.com/suicide-in-china-the-story-behind-the-declining-numbers/",2014-08-14,"The suicides of Chinese government officials, celebrities or office workers have consistently been making the headlines over the recent years. The latest statistics, however, shows that China has seen a dramatic drop in its suicide numbers, going from one of the world’s countries with highest suicide rates in the 1990s to a supposedly staggering 58% drop in the 2000s. What is the story behind these statistics?","Manya Koetse"
"44","The ‘Facekini’ Goes International","http://www.whatsonweibo.com/the-facekini-goes-international/",2014-08-14,"null","Manya Koetse"
"45","Victory over Japan Day: Meet the Veterans","http://www.whatsonweibo.com/victory-over-japan-day-meet-the-veterans/",2014-08-15,"null","Manya Koetse"
"46","Drugs, Tibet Bus Accident & Ice-buckets","http://www.whatsonweibo.com/drugs-tibet-bus-accident-ice-buckets/",2014-08-18,"null","Manya Koetse"
"47","14 year old girl delivers baby boy","http://www.whatsonweibo.com/14-year-old-girl-delivers-baby-boy/",2014-08-20,"null","Manya Koetse"
"48","Glamorous & Painless – China’s Booming Abortion Industry","http://www.whatsonweibo.com/abortionindustry/",2014-08-20,"null","Manya Koetse"
"49","Cult members on trial for homocide","http://www.whatsonweibo.com/cult-members-on-trial-for-homocide/",2014-08-21,"null","Manya Koetse"
"50","16 Very Unusual Things For Sale on Taobao","http://www.whatsonweibo.com/crazytaobao/",2014-08-22,"null","Manya Koetse"
"51","Open letter to editor-in-chief of China Topix","http://www.whatsonweibo.com/open-letter-to-editor-in-chief-of-china-topix/",2014-08-26,"null","Manya Koetse"
"52","Fans Say They Will Use Drugs after Kai Ko Drug Bust","http://www.whatsonweibo.com/kaiko/",2014-08-26,"null","Manya Koetse"
"53","‘Black Cab’ Ride Ends in Nightmare","http://www.whatsonweibo.com/black-cab-ride-ends-in-nightmare/",2014-08-27,"null","Manya Koetse"
"54","Weibo’s Double Standard on ‘Pornography’","http://www.whatsonweibo.com/weibos-double-standard-on-pornography/",2014-09-01,"null","Manya Koetse"
"55","New ‘Almost Real’ Counterfeit Money in Circulation","http://www.whatsonweibo.com/new-almost-real-counterfeit-money-in-circulation/",2014-09-04,"null","Manya Koetse"
"56","China’s Worst Dormitories","http://www.whatsonweibo.com/chinas-worst-dormitories/",2014-09-11,"null","Manya Koetse"
"57","Caught Between China & Japan: Superstar Li Xianglan","http://www.whatsonweibo.com/lixianglan/",2014-09-14,"null","Manya Koetse"
"58","Toxic Love Affair: Mistress Poisons Love Rival with Thallium","http://www.whatsonweibo.com/toxic-love-affair/",2014-09-16,"null","Manya Koetse"
"59","Last Living Pilot of China’s “Flying Tigers” Critically Ill","http://www.whatsonweibo.com/longqiming/",2014-09-23,"null","Manya Koetse"
"60","A Peek Inside China’s (Worst) Dormitories","http://www.whatsonweibo.com/chinasdorms/",2014-09-30,"null","Manya Koetse"
"61","More coming soon","http://www.whatsonweibo.com/were-back-online-soon/",2014-10-18,"null","Manya Koetse"
"62","Spicy Chicken Dish Takes over Beijing: Huangmenjimifan","http://www.whatsonweibo.com/huangmenjimifan/",2014-10-19,"null","Manya Koetse"
"63","Sex in China: 25 Survey Facts","http://www.whatsonweibo.com/sex-in-china-facts/",2014-10-20,"null","Manya Koetse"
"64","The Weird World of Taobao","http://www.whatsonweibo.com/the-weird-world-of-taobao/",2014-11-06,"null","Manya Koetse"
"65","Chinese-American ‘Paris Hilton’ Dorothy Wang","http://www.whatsonweibo.com/dorothywang/",2014-11-11,"null","Manya Koetse"
"66","Putin and Obama: ‘Misbehaving’ in China","http://www.whatsonweibo.com/misbehavinginchina/",2014-11-12,"null","Manya Koetse"
"67","Trending Snacks: Korean Street Food","http://www.whatsonweibo.com/korean-street-food/",2014-11-13,"null","Manya Koetse"
"68","What’s Not on Weibo – The 2014 APEC in Beijing","http://www.whatsonweibo.com/2014-apec-in-beijing/",2014-11-14,"null","Manya Koetse"
"69","Liaoning’s ‘Prison’ University","http://www.whatsonweibo.com/liaonings-prison-university/",2014-11-15,"null","Manya Koetse"
"70","High Standards: Japanese Beauty Queen Deemed ‘Ugly’","http://www.whatsonweibo.com/high-standards-japanese-beauty-queen-deemed-ugly/",2014-11-16,"null","Manya Koetse"
"71","From Superschool to Super Cool: Leaving ‘Beida’ to Become a Technician","http://www.whatsonweibo.com/storyofhaozhou/",2014-11-18,"null","Fan Bai"
"72","Kids for Sale: Child Abduction on the Rise in Fujian, China","http://www.whatsonweibo.com/kidsforsale/",2014-11-19,"Trending on Sina Weibo is China’s growing problem of child abduction. Under the hashtag of “Child Trafficking is a Common Practice” (#买卖儿童成风#), netizens plead for a national DNA database.","Fan Bai"
"73","Money, Money, Money: General Xu Caihou’s House Filled With Cash & Jade","http://www.whatsonweibo.com/money-money-money-general-xu-caihous-house-filled-with-cash-jade/",2014-11-20,"null","Manya Koetse"
"74","Mid-Term Stress: 10-year-old commits suicide","http://www.whatsonweibo.com/mid-term-stress-10-year-old-commits-suicide/",2014-11-21,"null","Manya Koetse"
"75","Keeping Peace, Building Power: China & International Peacekeeping (Liveblog)","http://www.whatsonweibo.com/peacekeepingliveblog/",2014-11-25,"null","Manya Koetse"
"76","ATM Catfight: My Necklace is Worth Over 2000!","http://www.whatsonweibo.com/atm-catfight-my-necklace-is-worth-over-2000/",2014-11-26,"null","Manya Koetse"
"77","Welcome to China’s Warmest Library","http://www.whatsonweibo.com/hangzhoulibrary/",2014-11-27,"null","Manya Koetse"
"78","China’s WeChat Revolution","http://www.whatsonweibo.com/wechatrevolution/",2014-11-28,"null","Manya Koetse"
"79","Chinese Government Says No To Internet Slang","http://www.whatsonweibo.com/chinese-government-says-no-to-internet-slang/",2014-11-28,"null","Manya Koetse"
"80","Video: Navy Rookie’s Hand Grenade Misthrow","http://www.whatsonweibo.com/video-soldier/",2014-11-30,"null","Manya Koetse"
"81","China Railway Changes Reservation Policy","http://www.whatsonweibo.com/china-railway-changes-reservation-policy/",2014-12-01,"null","Manya Koetse"
"82","The End of an Ally: China is ‘not North Korea’s savior’","http://www.whatsonweibo.com/chinaisnotnorthkoreassavior/",2014-12-02,"null","Manya Koetse"
"83","Could China Accept Guide Dogs in Public?","http://www.whatsonweibo.com/could-china-accept-guide-dogs-in-public/",2014-12-04,"null","Fan Bai"
"84","Man detained for catching 87 toads","http://www.whatsonweibo.com/man-detained-for-catching-87-toads/",2014-12-05,"null","Fan Bai"
"85","Mao Eating Belgium Waffles","http://www.whatsonweibo.com/mao-eating-belgium-waffles/",2014-12-08,"null","Manya Koetse"
"86","Top 10 of the Most Evil Power Women in China’s History","http://www.whatsonweibo.com/top-10-of-the-most-evil-power-women-in-chinas-history/",2014-12-09,"China has a long history of notoriously strongheaded or ruthless women. This is a list compiled by What’s on Weibo of 10 women in China’s history who are often referred to as “evil” in (online) media.","Manya Koetse"
"87","Aggression in Beijing’s Underground: Female Violence on the Rise","http://www.whatsonweibo.com/aggression-in-beijings-underground-female-violence-on-the-rise/",2014-12-11,"null","Manya Koetse"
"88","China’s Street Cleaners Left In the Cold","http://www.whatsonweibo.com/chinas-street-cleaners-left-in-the-cold/",2014-12-12,"null","Fan Bai"
"89","First Nanjing Massacre Memorial Day","http://www.whatsonweibo.com/chinas-first-nanjing-massacre-memorial-day/",2014-12-15,"null","Fan Bai"
"90","An Undying Love Story: 93-Year-Old Finds Lost Husband After 77 Years","http://www.whatsonweibo.com/an-undying-love-story-china/",2014-12-15,"null","Manya Koetse"
"91","Dutchman’s Marriage Proposal Goes Wrong (Did she still say yes?)","http://www.whatsonweibo.com/dutch-mans-marriage-proposal-goes-wrong-did-she-still-say-yes/",2014-12-16,"null","Manya Koetse"
"92","China’s Number 1 Quirky Viral Song of 2014","http://www.whatsonweibo.com/chinas-number-1-quirky-viral-song-of-2014/",2014-12-16,"null","Manya Koetse"
"93","8-Year-Old with HIV Banned from Chinese Village","http://www.whatsonweibo.com/8-year-old-with-hiv-banned-from-chinese-village/",2014-12-17,"null","Manya Koetse"
"94","Holiday Stress: 50% of Chinese Men Think Single Women Aged 25 Are ‘Leftovers’","http://www.whatsonweibo.com/50-of-chinese-men-think-single-women-at-25-are-leftovers/",2015-01-06,"null","Manya Koetse"
"95","‘Wo Shi Chali’ – China’s Response to Je Suis Charlie","http://www.whatsonweibo.com/wo-shi-chali-chinas-response-to-je-suis-charlie/",2015-01-08,"null","Manya Koetse"
"96","‘Super Tractor Kid’ Drives Drunk Dad Home","http://www.whatsonweibo.com/super-tractor-kid-drives-drunk-dad-home/",2015-01-08,"null","Fan Bai"
"97","China Says Potato","http://www.whatsonweibo.com/china-says-potato/",2015-01-09,"null","Manya Koetse"
"98","False Alarm: 9 Strange “Emergency Calls” from China","http://www.whatsonweibo.com/false-alarm-9-strange-emergency-calls-from-china/",2015-01-10,"null","Fan Bai"
"99","China’s Second Generation Rich- Living the Highlife or Living Alone?","http://www.whatsonweibo.com/chinas-second-generation-rich-living-the-highlife-or-living-alone/",2015-01-11,"null","Manya Koetse"
"100","Spending one Extra Second on Earth","http://www.whatsonweibo.com/spending-one-extra-second-on-earth/",2015-01-12,"null","Manya Koetse"
"101","Humans of Peking – Collecting Beijing’s Stories","http://www.whatsonweibo.com/humans-of-peking-collecting-beijings-stories/",2015-01-12,"A homeless beggar talking about his future dreams, a young fashionista remembering her traumatic youth or an on-duty policeman boosting about his newborn baby – you might have seen the portraits and short stories of very diverse people as featured on the well-known blog Humans of New York. It inspired Daisy Sun and Katharina Qi to start a similar project in the city they love most: Beijing.","Manya Koetse"
"102","China’s ‘Bystander Problem’ and one Neglected Hero","http://www.whatsonweibo.com/chinas-bystander-problem-and-one-neglected-hero/",2015-01-14,"null","Manya Koetse"
"103","China’s ‘Dada Movement’","http://www.whatsonweibo.com/chinas-dada-movement/",2015-01-16,"null","Manya Koetse"
"104","People’s Daily: Burqa Ban Starts February 1st","http://www.whatsonweibo.com/peoples-daily-burqa-ban-starts-february-1st/",2015-01-18,"null","Manya Koetse"
"105","Jay Chou’s Fairy Tale Wedding","http://www.whatsonweibo.com/jay-chous-fairy-tale-wedding/",2015-01-26,"null","Fan Bai"
"106","Bizarre Legal Case Stirs Online Controversy","http://www.whatsonweibo.com/bizarre-legal-case-stirs-online-controversy/",2015-01-27,"null","Fan Bai"
"107","Public Outcry after Sinkhole in Beijing’s Historical Center","http://www.whatsonweibo.com/sinkhole-in-beijings-historical-center-stirs-public-outcry/",2015-02-01,"null","Manya Koetse"
"108","From Farmgirl to Fashionista: Weibo Celebrity Fairy Wang","http://www.whatsonweibo.com/from-farmgirl-to-fashionista-weibo-celebrity-fairy-wang/",2015-02-06,"null","Manya Koetse"
"109","The ‘Hope Project’: WWII Refugee School Brings Back Memories of War","http://www.whatsonweibo.com/the-hope-project-wwii-refugee-school-brings-back-memories-of-war/",2015-02-11,"null","Manya Koetse"
"110","How ‘Chinese’ are China’s Muslims? Islam in China: An Overview","http://www.whatsonweibo.com/islaminchina/",2015-02-13,"As Muslim extremist attacks have ignited discussions on Islam in Europe, Chinese leaders increasingly expand restrictions on the Muslims within their borders. What’s on Weibo brings you an overview of Islam in China and China’s relation to its Muslim minorities.","Manya Koetse"
"111","China’s Online Gay Revolution and Rainbow Warrior Geng Le","http://www.whatsonweibo.com/chinas-online-gay-revolution/",2015-02-14,"null","Manya Koetse"
"112","35 Facts About Chinese New Year","http://www.whatsonweibo.com/35-facts-about-chinese-new-year/",2015-02-18,"Chinese New Year has arrived. It is the most important Chinese festival of the year, and the anticipation starts weeks before it starts. Trending topics on Sina Weibo during this period include “going home”, “not able to go home”, “meeting the family-in-law” or “red envelope” (hongbao, monetary gifts during festivities). Did you know that Chinese New Year was once cancelled by the government? Or that Xinjiang people receive “anti-extremist” New Year’s calendars? What’s on Weibo brings you 35 facts about Chinese New Year.","Manya Koetse"
"113","Chinese New Year Fireworks: Sign of Luck, Source of Danger","http://www.whatsonweibo.com/chinese-new-year-fireworks-sign-of-luck-source-of-danger/",2015-02-21,"null","Manya Koetse"
"114","Pressured to get Married: For the Country and For Society","http://www.whatsonweibo.com/pressured-to-get-married-for-the-country-and-for-society/",2015-02-24,"null","Manya Koetse"
"115","No Champagne & Caviar: China’s 2015 Parliamentary Sessions","http://www.whatsonweibo.com/no-champagne-caviar-chinas-2015-parliamentary-sessions/",2015-03-04,"null","Manya Koetse"
"116","Chinese Cooking App ‘Good Chef’ – Recipe for Success","http://www.whatsonweibo.com/chinese-cooking-app-good-chef-recipe-for-success/",2015-03-13,"null","Manya Koetse"
"117","China’s Media in Africa: The New Goldmine","http://www.whatsonweibo.com/chinas-media-in-africa-the-new-goldmine/",2015-03-14,"null","Manya Koetse"
"118","Bringing Energy to Beijing’s Ruins: Meet Urban Artist ROBBBB","http://www.whatsonweibo.com/urbanartistrobbbb/",2015-03-24,"null","Manya Koetse"
"119","Beyond ‘Under the Dome’ – What’s not on Weibo","http://www.whatsonweibo.com/beyond-under-the-dome-whats-not-on-weibo/",2015-03-25,"null","Manya Koetse"
"120","First Live Broadcast of Court Case on Weibo","http://www.whatsonweibo.com/first-live-broadcast-of-court-case-on-weibo/",2015-04-14,"null","Manya Koetse"
"121","Dying 1000 Times a Year – ‘Japanese Devils’ and China’s War Dramas","http://www.whatsonweibo.com/dying-1000-times-a-year/",2015-04-16,"null","Manya Koetse"
"122","Race Against Time: Terminal Patient Stays Alive for Wife’s Residence Permit","http://www.whatsonweibo.com/race-against-time-terminal-patient-stays-alive-for-wifes-residence-permit/",2015-04-17,"null","Manya Koetse"
"123","“I’m a Beijing Migrant Worker” becomes Internet Hit","http://www.whatsonweibo.com/im-a-beijing-migrant-worker-becomes-internet-hit/",2015-04-21,"null","Manya Koetse"
"124","Crazy Bureaucracy: Proof of Proof of Proof of No Criminal Record","http://www.whatsonweibo.com/crazy-bureaucracy-proof-of-proof-of-proof-of-no-criminal-record/",2015-04-22,"Trending on Sina Weibo is the story of a woman applying for her teacher’s license and needing a proof of a proof that she had no criminal record. Chinese bureaucracy has gone too far, say Weibo netizens.","Manya Koetse"
"125","Alipay and Sina Weibo Launch Public Service Platform","http://www.whatsonweibo.com/alipay-sina-weibo-public-services/",2015-04-24,"Getting Married Through Weibo? Alipay and Sina Weibo have launched a new service where paying traffic fines, handling immigration issues or scheduling marriage registration no longer requires hourlong queuing at the Public Service Hall. With the coming of a new online city services platform, it can all be done by mobile phone.","Manya Koetse"
"126","China’s Hunt for Corrupt Officials Goes Global","http://www.whatsonweibo.com/chinas-hunt-for-corrupt-officials-goes-global/",2015-04-29,"As Xi Jinping’s anti-corruption campaign is intensifying, a list of China’s 100 most wanted corrupt fugitives was published online last week. On top of the list is China’s “first giant female fraud” Yang Xiuzhu, a former deputy head who is now being repatriated after she was arrested in the Netherlands. Are these the last days of China’s corruption?","Manya Koetse"
"127","Top 10 of Chinese Apps by What’s on Weibo","http://www.whatsonweibo.com/top-10-of-chinese-apps-by-whats-on-weibo/",2015-04-30,"What’s on Weibo brings you a short introduction to China’s fast-growing app market, oversight of alternative Android app stores and a top 10 of the most useful and funny Chinese apps.","Manya Koetse"
"128","Tour Guide Scolds Tourists for Not Buying Enough","http://www.whatsonweibo.com/tour-guide-scolds-tourists-for-not-buying-enough/",2015-05-02,"null","Manya Koetse"
"129","May Fourth – China Youth Day","http://www.whatsonweibo.com/chinayouthday/",2015-05-04,"null","Manya Koetse"
"130","“Made in China” Fashion – Forever Doomed?","http://www.whatsonweibo.com/made-in-china-fashion-forever-doomed/",2015-05-07,"‘Chinese fashion’ is a hot topic on China’s social media platforms this week. China fashion writer Elsbeth van Paridon hopefully wishes the MET gala throws another Chinoiserie ball in a decade or so.","Elsbeth v Paridon"
"131","‘Sitting the Month’ – a Gift or Torture?","http://www.whatsonweibo.com/sitting-the-month/",2015-05-11,"After Mother’s Day, it is still a hot topic on China’s social media: how could Kate Middleton appear in public, high heels and all, only 10 hours after giving birth? In China, new moms are confined to their beds for weeks after giving birth. This tradition, called ‘sitting the month’, comes with many rules. Amongst them: no showering, no drinking cold water, no leaving the house.","Yiying Fan"
"132","Chinese Government Declares New National Holiday","http://www.whatsonweibo.com/chinese-government-declares-new-national-holiday/",2015-05-15,"null","Manya Koetse"
"133","Chinese Relationship Guru to Women: Put Motherhood On Hold","http://www.whatsonweibo.com/chinese-relationship-guru-to-women-put-motherhood-on-hold/",2015-05-16,"Do not get pregnant too soon – that is the message of China’s most popular relationship advisor to women on Weibo. The post became an instant hit, igniting online discussions on becoming a mom directly after marriage.","Yiying Fan"
"134","In The Digital Age, ‘Handwritten Weibo’ Have Become All The Rage","http://www.whatsonweibo.com/in-the-digital-age-handwritten-weibo-have-become-all-the-rage/",2015-05-17,"A new trend on Sina Weibo is showing the more artisanal side of Chinese netizens. In an age where everything is digital, ‘handwritten Weibo’ have become all the rage.","Laura Vermeeren"
"135","Is There No Chinese Feminism?","http://www.whatsonweibo.com/is-there-no-chinese-feminism/",2015-05-20,"“China has no feminists” is an online post that ignited much debate on China’s social media. Since the arrest of the so-called Feminist Five, feminism and the role of women in today’s society are recurring topics on China’s social media platforms. Is there no Chinese Feminism? ","Manya Koetse"
"136","Free Weibo – Celebrating the Freedom of Weibo","http://www.whatsonweibo.com/free-weibo-celebrating-the-freedom-of-weibo/",2015-05-21,"Fighting for freedom of speech in the censored world of Weibo – that is the mission of Free Weibo, a platform that uncovers all the search terms blocked on Sina Weibo","Manya Koetse"
"137","Sex and the City – Women’s Sex in China (Liveblog)","http://www.whatsonweibo.com/sex-and-the-city-womens-sex-in-china-liveblog/",2015-05-21,"Gender and sexuality specialist Yuxin Pei (裴谕新) talks about her book ‘Sex and the City: A Study of Shanghai Young Women born in the 1970s’, a book for which she interviewed dozens of women about their sexuality. Pei explains her research, including masturbation and cyber sex.","Manya Koetse"
"138","Why Weibo Netizens are Outraged at These Parents","http://www.whatsonweibo.com/why-weibo-netizens-are-outraged-at-these-parents/",2015-05-23,"null","Manya Koetse"
"139","China’s Post-90s Outlook on Love","http://www.whatsonweibo.com/how-chinas-post-90s-think-about-love/",2015-05-24,"This year’s inofficial Chinese Valentine’s Day has brought about love-related online surveys and discussions, bringing new insights into how China’s younger generations think about love: the Post-90s generation holds other views than expected.","Yiying Fan"
"140","How To Prove That You’re Single In China?","http://www.whatsonweibo.com/how-to-prove-that-youre-single-in-china/",2015-05-27,"null","Manya Koetse"
"141","Must-See: 5-year-old with Bruce Lee Moves","http://www.whatsonweibo.com/must-see-5-year-old-with-bruce-lee-moves/",2015-05-30,"null","Manya Koetse"
"142","How Money Flies from China’s Banks","http://www.whatsonweibo.com/how-money-flies-from-chinas-banks/",2015-06-02,"null","Liang Zichao"
"143","China’s Cruise Ship Generation","http://www.whatsonweibo.com/chinas-cruise-ship-generation/",2015-06-04,"Trending on Sina Weibo this week is the topic “How To Guarantee A Safe Tour For Senior Tourists” (如何保证”夕阳红”旅行团平安). The tragedy with the capsized Chinese cruise ship, with a majority of passengers over the age of 50, uncovered existing problems of senior citizens traveling under dangerous conditions.","Liang Zichao"
"144","Online Dating in China: Serious Business","http://www.whatsonweibo.com/online-dating-in-china-serious-business/",2015-06-05,"China’s economic growth has brought about drastic societal changes in the last decennia. It has not just changed entire villages and family constructions; it has also reshaped the landscape of dating and marriage. Millions of Chinese women and men go online every day in hopes of finding their Mr. or Mrs. Perfect. In China, online dating is serious business for many.","Manya Koetse"
"145","Should China’s Singles Pay Their Parents?","http://www.whatsonweibo.com/should-chinas-singles-pay-their-parents/",2015-06-08,"Giving money to the parents is a common practice in China, especially for singles who still live at home, as a way for children to ‘give back’ for their parents raising them. But as times are changing, not all children are willing to share their finances with their parents anymore.","Yiying Fan"
"146","Why China’s Entrance Exam System is Losing Ground","http://www.whatsonweibo.com/why-chinas-entrance-exam-system-is-losing-ground/",2015-06-11,"Getting a good score on the entrance exam used to be the ticket to a good job and bright future for many of China’s young people. But in 2015, China’s education system presents current students with grim prospects.","Liang Zichao"
