"topic","frequency","word"
"feminism",13,"不得不"
"feminism",13,"慰安妇"
"feminism",12,"价值观"
"feminism",12,"动不动"
"feminism",12,"只不过"
"feminism",11,"意识形态"
"feminism",10,"一部分"
"feminism",10,"有意思"
"feminism",10,"看不起"
"feminism",9,"gay"
"feminism",9,"从来不"
"feminism",9,"差不多"
"feminism",9,"意味着"
"feminism",9,"既得利益"
"feminism",9,"是因为"
"feminism",9,"有时候"
"feminism",9,"第一次"
"feminism",8,"一个个"
"feminism",8,"他妈的"
"feminism",8,"任何人"
"feminism",8,"别有用心"
"feminism",8,"女朋友"
"feminism",8,"实际上"
"feminism",8,"对立面"
"feminism",8,"小伙伴"
"feminism",8,"扣帽子"
"feminism",8,"支持者"
"feminism",8,"理所当然"
"feminism",8,"说到底"
"feminism",7,"一系列"
"feminism",7,"这时候"
"feminism",7,"进一步"
"aiweiwei",6,"aiweiwei"
"aiweiwei",1,"american"
"aiweiwei",1,"art"
"aiweiwei",1,"hail"
"aiweiwei",1,"idaho"
"aiweiwei",1,"instagram"
"aiweiwei",1,"linstagram"
"aiweiwei",1,"madison"
"aiweiwei",1,"others"
"aiweiwei",1,"penn"
"aiweiwei",1,"penndesign"
"aiweiwei",1,"via"
"aiweiwei",1,"works"
"aiweiwei",1,"佛罗伦萨"
"aiweiwei",1,"意大利"
"aiweiwei",1,"艺术家"
